"ID_Zero","Brar","Blvl","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlvl","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","Name","Realm","Rarity","Base Rarity","Category","Level","Atk","Def","Mag","Res","Mnd","Acc","Eva","Effect","Character","Soul Break","Legend Materia","Synergy","Corrected Type","Corrected Category","Corrected Realm","Base Level","Rarity+","Level+","Atk+","Def+","Mag+","Res+","Mnd+","Acc+","Eva+","Rarity++","Level++","Atk++","Def++","Mag++","Res++","Mnd++","Acc++","Eva++","Rarity+++","Level+++","Atk+++","Def+++","Mag+++","Res+++","Mnd+++","Acc+++","Eva+++"
"21201114","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201114","Mythril Knife","I","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","1","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201031","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201031","Orichalcum","II","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","2","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201111","S","50","83","0","164","0","55","95","0","S","50","135","0","268","0","87","95","0","21201111","Gladius","III","100","100","Dagger","50","135.0","0.0","268.0","0.0","87.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","3","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201058","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201058","Triton's Dagger","IV","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","4","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201136","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201136","Man-Eater","V","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","5","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201082","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201082","Zwill Crossblade","VI","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","6","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201037","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201037","Mage Masher","IX","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","9","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201051","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201051","Thief Blade","X","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","10","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201096","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201096","Lust Dagger","XI","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","11","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21201088","S","50","164","0","0","0","0","95","0","S","50","268","0","0","0","0","95","0","21201088","Shikari Nagasa","XII","100","100","Dagger","50","268.0","0.0","0.0","0.0","0.0","95.0","0.0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","No","1 ","1 ","12","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
